epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.93422,0.965,2.34783,1.28453,0.58284,0.85,0.87794,0.63383,1.64863,1.02835,1.37299,0,0,0
2,1.39377,1.25335,3.27208,1.64543,0.5873,0.85,0.84821,0.61362,1.66496,1.01598,1.38626,1.17822e-06,1.17822e-06,1.17822e-06
3,1.79709,1.35195,3.63894,1.61309,0.59205,0.85,0.85389,0.63388,1.68848,1.01362,1.39016,2.33288e-06,2.33288e-06,2.33288e-06
4,2.18484,1.02958,2.75226,1.27704,0.57821,0.85,0.85443,0.63559,1.68788,1.01617,1.38344,3.46397e-06,3.46397e-06,3.46397e-06
5,2.63351,1.34239,3.00194,1.62672,0.6204,0.92613,0.90671,0.64119,1.68912,1.01418,1.37866,4.5715e-06,4.5715e-06,4.5715e-06
6,3.23545,0.94109,2.24926,1.21784,0.5626,0.85,0.85744,0.62793,1.68301,1.01701,1.37398,5.65548e-06,5.65548e-06,5.65548e-06
7,3.79003,1.40605,3.79331,1.74803,0.5477,0.85,0.85799,0.62848,1.67279,1.02663,1.36535,6.71588e-06,6.71588e-06,6.71588e-06
8,4.52258,1.41733,3.96129,1.79803,0.56475,0.85,0.86028,0.61361,1.69574,1.05296,1.37614,7.75273e-06,7.75273e-06,7.75273e-06
9,5.1613,1.36253,2.84284,1.47577,0.57344,0.85948,0.86139,0.62425,1.68917,1.06155,1.37377,8.76602e-06,8.76602e-06,8.76602e-06
10,5.7359,1.24589,2.3956,1.58569,0.57414,0.86276,0.82016,0.61234,1.69161,1.06603,1.37237,9.75574e-06,9.75574e-06,9.75574e-06
11,6.28528,1.05633,1.64866,1.33023,0.57246,0.85944,0.861,0.63258,1.68164,1.05961,1.36746,1.07219e-05,1.07219e-05,1.07219e-05
12,6.88188,1.35105,2.77157,1.56242,0.57928,0.85958,0.85576,0.63184,1.67911,1.06877,1.36513,1.16645e-05,1.16645e-05,1.16645e-05
13,7.48312,0.97891,2.43818,1.33334,0.56031,0.86667,0.85513,0.63186,1.69227,1.08617,1.36986,1.25835e-05,1.25835e-05,1.25835e-05
14,8.04617,1.18247,2.10421,1.49585,0.55705,0.86667,0.88768,0.62407,1.68409,1.09535,1.36636,1.3479e-05,1.3479e-05,1.3479e-05
15,8.59516,1.17715,2.79837,1.4891,0.55996,0.86667,0.88932,0.62448,1.68405,1.09677,1.36615,1.43509e-05,1.43509e-05,1.43509e-05
16,9.13636,1.03779,2.1294,1.396,0.57605,0.86667,0.8892,0.62757,1.67977,1.09644,1.36628,1.51993e-05,1.51993e-05,1.51993e-05
17,9.71577,1.10545,2.72511,1.42404,0.81594,0.65,0.88794,0.62446,1.69484,1.10667,1.37169,1.60241e-05,1.60241e-05,1.60241e-05
18,10.3404,0.89038,2.38014,1.30988,0.81594,0.65,0.88794,0.62446,1.69484,1.10667,1.37169,1.68253e-05,1.68253e-05,1.68253e-05
19,11.1918,0.99707,1.68993,1.46658,0.81447,0.65,0.88305,0.62252,1.71402,1.14139,1.377,1.7603e-05,1.7603e-05,1.7603e-05
20,11.6988,1.18769,2.35862,1.54756,0.81447,0.65,0.88305,0.62252,1.71402,1.14139,1.377,1.83571e-05,1.83571e-05,1.83571e-05
21,12.3689,1.04143,2.36484,1.46986,0.80696,0.65,0.8551,0.61358,1.71143,1.15273,1.38293,1.90876e-05,1.90876e-05,1.90876e-05
22,12.8837,1.01743,2.45921,1.36542,0.80696,0.65,0.8551,0.61358,1.71143,1.15273,1.38293,1.97946e-05,1.97946e-05,1.97946e-05
23,13.4808,0.9183,1.89998,1.46956,0.63958,0.69828,0.85759,0.6145,1.73175,1.20311,1.39549,2.0478e-05,2.0478e-05,2.0478e-05
24,14.0016,0.76756,1.45561,1.18611,0.63958,0.69828,0.85759,0.6145,1.73175,1.20311,1.39549,2.11379e-05,2.11379e-05,2.11379e-05
25,14.6299,0.66047,1.56201,1.07174,0.63235,0.68333,0.85602,0.61396,1.72232,1.21942,1.39764,2.17741e-05,2.17741e-05,2.17741e-05
26,15.2631,1.1616,1.86736,1.38978,0.63235,0.68333,0.85602,0.61396,1.72232,1.21942,1.39764,2.23869e-05,2.23869e-05,2.23869e-05
27,15.925,0.98693,1.5758,1.31061,0.6596,0.69909,0.85746,0.60219,1.70033,1.23402,1.38945,2.2976e-05,2.2976e-05,2.2976e-05
28,16.5058,1.04464,1.45722,1.25641,0.6596,0.69909,0.85746,0.60219,1.70033,1.23402,1.38945,2.35417e-05,2.35417e-05,2.35417e-05
29,17.3305,1.13801,1.79697,1.55266,0.66443,0.69942,0.87564,0.59276,1.6758,1.25387,1.37809,2.40837e-05,2.40837e-05,2.40837e-05
30,17.8312,0.74184,1.6812,1.38988,0.66443,0.69942,0.87564,0.59276,1.6758,1.25387,1.37809,2.46022e-05,2.46022e-05,2.46022e-05
31,18.4814,1.21666,1.61032,1.58953,0.66852,0.69862,0.8658,0.5821,1.6707,1.29115,1.37787,2.50971e-05,2.50971e-05,2.50971e-05
32,18.9912,0.99015,2.09176,1.44418,0.66852,0.69862,0.8658,0.5821,1.6707,1.29115,1.37787,2.55685e-05,2.55685e-05,2.55685e-05
33,19.5553,0.80978,1.23665,1.24537,0.6592,0.68333,0.85486,0.58088,1.63453,1.33472,1.36917,2.60163e-05,2.60163e-05,2.60163e-05
34,20.0474,1.20351,1.61479,1.46138,0.6592,0.68333,0.85486,0.58088,1.63453,1.33472,1.36917,2.64405e-05,2.64405e-05,2.64405e-05
35,20.6358,0.75061,1.19973,1.08375,0.66243,0.7,0.8546,0.57236,1.64704,1.36268,1.38035,2.68412e-05,2.68412e-05,2.68412e-05
36,21.1871,0.71887,1.6391,1.18432,0.66243,0.7,0.8546,0.57236,1.64704,1.36268,1.38035,2.72183e-05,2.72183e-05,2.72183e-05
37,21.7377,1.14651,1.66376,1.63941,0.67167,0.7,0.84674,0.57504,1.61862,1.41134,1.37508,2.75718e-05,2.75718e-05,2.75718e-05
38,22.3048,0.82224,1.46566,1.13567,0.67167,0.7,0.84674,0.57504,1.61862,1.41134,1.37508,2.79018e-05,2.79018e-05,2.79018e-05
39,22.9785,0.56106,0.97066,0.96657,0.67999,0.7,0.84708,0.57774,1.58899,1.47565,1.37157,2.82082e-05,2.82082e-05,2.82082e-05
40,23.7041,0.80346,1.01591,1.30714,0.67999,0.7,0.84708,0.57774,1.58899,1.47565,1.37157,2.84911e-05,2.84911e-05,2.84911e-05
41,24.3239,0.72004,0.9772,1.06383,0.69441,0.65834,0.8472,0.57628,1.65274,1.50029,1.39834,2.87504e-05,2.87504e-05,2.87504e-05
42,24.9046,0.89753,1.31119,1.22546,0.69441,0.65834,0.8472,0.57628,1.65274,1.50029,1.39834,2.89861e-05,2.89861e-05,2.89861e-05
43,25.5015,0.60891,1.08864,1.14123,0.69438,0.65787,0.84671,0.57473,1.64912,1.54192,1.39265,2.91983e-05,2.91983e-05,2.91983e-05
44,26.0516,0.99816,2.19951,1.3837,0.69438,0.65787,0.84671,0.57473,1.64912,1.54192,1.39265,2.93869e-05,2.93869e-05,2.93869e-05
45,26.6868,0.76282,1.26836,1.22985,0.7024,0.65647,0.69718,0.43589,1.65329,1.61875,1.39249,2.9552e-05,2.9552e-05,2.9552e-05
